strategy,$\sigma=0.0$,$\sigma=0.01$,$\sigma=0.03$
L1-L5 (Hybrid),"0.575 [0.505, 0.645]","0.602 [0.532, 0.667]","0.595 [0.525, 0.660]"
Naive random,"0.280 [0.220, 0.345]","0.295 [0.235, 0.360]","0.295 [0.235, 0.360]"
Bresenham random,"0.930 [0.890, 0.965]","0.925 [0.885, 0.960]","0.895 [0.850, 0.935]"
L1–L4 (Procedural),"0.305 [0.240, 0.370]","0.365 [0.300, 0.435]","0.560 [0.495, 0.630]"
