strategy,$\sigma=0.0$,$\sigma=0.01$,$\sigma=0.03$
L1-L5 (Hybrid),"0.100 [0.020, 0.200]","0.160 [0.060, 0.260]","0.140 [0.060, 0.240]"
L1–L4 (Procedural),"0.180 [0.080, 0.300]","0.200 [0.100, 0.320]","0.180 [0.080, 0.300]"
