strategy,train_noise,eval_noise,eval_set,case,mean,ci_lo,ci_hi,n_ep
l1l4_baseline,0.0,0.0,lvl_5,corridor,0.7,0.58,0.82,50
l1l4_baseline,0.0,0.01,lvl_5,corridor,0.7,0.58,0.82,50
l1l4_baseline,0.0,0.03,lvl_5,corridor,0.7,0.58,0.82,50
ours_l1l5_solverl5,0.0,0.0,lvl_5,corridor,0.66,0.52,0.78,50
ours_l1l5_solverl5,0.0,0.01,lvl_5,corridor,0.7,0.56,0.82,50
ours_l1l5_solverl5,0.0,0.03,lvl_5,corridor,0.7,0.56,0.82,50
