strategy,$\sigma=0.0$,$\sigma=0.01$,$\sigma=0.03$
L1-L5 (Hybrid),"0.815 [0.760, 0.870]","0.825 [0.770, 0.875]","0.835 [0.785, 0.885]"
Naive random,"0.610 [0.540, 0.680]","0.160 [0.110, 0.210]","0.000 [0.000, 0.000]"
Bresenham random,"0.730 [0.670, 0.790]","0.660 [0.595, 0.725]","0.135 [0.090, 0.185]"
L1–L4 (Procedural),"0.880 [0.835, 0.920]","0.840 [0.790, 0.890]","0.830 [0.775, 0.880]"
