strategy,$\sigma=0.0$,$\sigma=0.01$,$\sigma=0.03$
L1-L5 (Hybrid),"0.100 [0.020, 0.180]","0.100 [0.020, 0.180]","0.100 [0.020, 0.180]"
L1–L4 (Procedural),"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
