strategy,train_noise,eval_noise,eval_set,case,mean,ci_lo,ci_hi,n_ep
l1l4_baseline,0.03,0.0,lvl_5,deadend,0.0,0.0,0.0,50
l1l4_baseline,0.03,0.01,lvl_5,deadend,0.0,0.0,0.0,50
l1l4_baseline,0.03,0.03,lvl_5,deadend,0.06,0.0,0.14,50
ours_l1l5_solverl5,0.03,0.0,lvl_5,deadend,0.02,0.0,0.06,50
ours_l1l5_solverl5,0.03,0.01,lvl_5,deadend,0.02,0.0,0.06,50
ours_l1l5_solverl5,0.03,0.03,lvl_5,deadend,0.04,0.0,0.1,50
