strategy,$\sigma=0.0$,$\sigma=0.01$,$\sigma=0.03$
L1-L5 (Hybrid),"0.660 [0.520, 0.780]","0.700 [0.560, 0.820]","0.700 [0.560, 0.820]"
L1–L4 (Procedural),"0.700 [0.580, 0.820]","0.700 [0.580, 0.820]","0.700 [0.580, 0.820]"
