strategy,train_noise,eval_noise,eval_set,case,mean,ci_lo,ci_hi,n_ep
l1l4_baseline,0.0,0.0,lvl_1_4,all,0.88,0.835,0.92,200
l1l4_baseline,0.0,0.01,lvl_1_4,all,0.84,0.79,0.89,200
l1l4_baseline,0.0,0.03,lvl_1_4,all,0.83,0.775,0.88,200
naive_random,0.0,0.0,lvl_1_4,all,0.61,0.54,0.68,200
naive_random,0.0,0.01,lvl_1_4,all,0.16,0.11,0.21,200
naive_random,0.0,0.03,lvl_1_4,all,0.0,0.0,0.0,200
ours_l1l5_solverl5,0.0,0.0,lvl_1_4,all,0.815,0.76,0.87,200
ours_l1l5_solverl5,0.0,0.01,lvl_1_4,all,0.825,0.77,0.875,200
ours_l1l5_solverl5,0.0,0.03,lvl_1_4,all,0.835,0.785,0.885,200
random_bresenham,0.0,0.0,lvl_1_4,all,0.73,0.67,0.79,200
random_bresenham,0.0,0.01,lvl_1_4,all,0.66,0.595,0.725,200
random_bresenham,0.0,0.03,lvl_1_4,all,0.135,0.09,0.185,200
