strategy,train_noise,eval_noise,eval_set,case,mean,ci_lo,ci_hi,n_ep
l1l4_baseline,0.01,0.0,lvl_1_4,all,0.865,0.815,0.91,200
l1l4_baseline,0.01,0.01,lvl_1_4,all,0.86,0.81,0.905,200
l1l4_baseline,0.01,0.03,lvl_1_4,all,0.86,0.81,0.91,200
naive_random,0.01,0.0,lvl_1_4,all,0.465,0.4,0.535,200
naive_random,0.01,0.01,lvl_1_4,all,0.455,0.39,0.525,200
naive_random,0.01,0.03,lvl_1_4,all,0.405,0.34,0.475,200
ours_l1l5_solverl5,0.01,0.0,lvl_1_4,all,0.655,0.59,0.72,200
ours_l1l5_solverl5,0.01,0.01,lvl_1_4,all,0.755,0.695,0.815,200
ours_l1l5_solverl5,0.01,0.03,lvl_1_4,all,0.73,0.67,0.79,200
random_bresenham,0.01,0.0,lvl_1_4,all,0.83,0.775,0.88,200
random_bresenham,0.01,0.01,lvl_1_4,all,0.88,0.835,0.92,200
random_bresenham,0.01,0.03,lvl_1_4,all,0.85,0.8,0.9,200
