num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,5f947_00000,2025-10-19_17-16-13,1760886973,61.41691493988037,61.41691493988037,27367,MacBookPro.lan,127.0.0.1,61.41691493988037,1,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60048.174,0.015,60047.954,60047.908,0,0,0,0,22.053409090909092,79.57159090909092,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,2,5f947_00000,2025-10-19_17-16-15,1760886975,1.9899098873138428,63.406824827194214,27367,MacBookPro.lan,127.0.0.1,63.406824827194214,2,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,31018.999,994.806,30024.064,30024.032,0,0,0,0,21.933333333333334,77.8,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,3,5f947_00000,2025-10-19_17-16-17,1760886977,1.995244026184082,65.4020688533783,27367,MacBookPro.lan,127.0.0.1,65.4020688533783,3,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,21344.395,1328.219,20016.087,20016.063,0,0,0,0,22.26666666666667,79.2,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,4,5f947_00000,2025-10-19_17-16-19,1760886979,1.9932739734649658,67.39534282684326,27367,MacBookPro.lan,127.0.0.1,67.39534282684326,4,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,16506.6,1494.429,15012.1,15012.082,0,0,0,0,41.150000000000006,79.15,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,5,5f947_00000,2025-10-19_17-17-21,1760887041,62.0510139465332,129.44635677337646,27367,MacBookPro.lan,127.0.0.1,129.44635677337646,5,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,25220.421,1200.879,24019.469,24019.439,0,0,0,0,21.335955056179778,79.46516853932584,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,6,5f947_00000,2025-10-19_17-17-23,1760887043,1.9688570499420166,131.41521382331848,27367,MacBookPro.lan,127.0.0.1,131.41521382331848,6,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,21345.149,1328.836,20016.248,20016.221,0,0,0,0,22.55,79.2,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,7,5f947_00000,2025-10-19_17-17-25,1760887045,1.9954698085784912,133.41068363189697,27367,MacBookPro.lan,127.0.0.1,133.41068363189697,7,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,18580.901,1424.042,17156.801,17156.777,0,0,0,0,20.96666666666667,79.7,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,8,5f947_00000,2025-10-19_17-17-27,1760887047,1.997495174407959,135.40817880630493,27367,MacBookPro.lan,127.0.0.1,135.40817880630493,8,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,16507.931,1495.562,15012.312,15012.287,0,0,0,0,18.03333333333333,79.8,[],[]
0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,9,5f947_00000,2025-10-19_17-18-29,1760887109,62.0677649974823,197.47594380378723,27367,MacBookPro.lan,127.0.0.1,197.47594380378723,9,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,21348.391,1331.028,20017.309,20017.285,0,0,0,0,14.651136363636367,78.8409090909091,[],[]
0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,10,5f947_00000,2025-10-19_17-18-31,1760887111,1.99456787109375,199.47051167488098,27367,MacBookPro.lan,127.0.0.1,199.47051167488098,10,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19413.003,1397.363,18015.591,18015.569,0,0,0,0,26.2,77.16666666666667,[],[]
0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,11,5f947_00000,2025-10-19_17-18-33,1760887113,1.9816718101501465,201.45218348503113,27367,MacBookPro.lan,127.0.0.1,201.45218348503113,11,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13606.347,1595.508,12010.808,12010.79,0,0,0,0,20.8,78.66666666666667,[],[]
0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,12,5f947_00000,2025-10-19_17-18-35,1760887115,1.9985322952270508,203.45071578025818,27367,MacBookPro.lan,127.0.0.1,203.45071578025818,12,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13607.19,1596.291,12010.867,12010.847,0,0,0,0,16.766666666666666,79.03333333333333,[],[]
0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,13,5f947_00000,2025-10-19_17-19-37,1760887177,62.059295892715454,265.51001167297363,27367,MacBookPro.lan,127.0.0.1,265.51001167297363,13,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19416.219,1398.851,18017.329,18017.304,0,0,0,0,15.76931818181818,78.6159090909091,[],[]
0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,14,5f947_00000,2025-10-19_17-19-39,1760887179,1.990859031677246,267.5008707046509,27367,MacBookPro.lan,127.0.0.1,267.5008707046509,14,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19415.977,1398.604,18017.331,18017.304,0,0,0,0,25.233333333333334,76.86666666666666,[],[]
0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,15,5f947_00000,2025-10-19_17-19-41,1760887181,1.9958550930023193,269.4967257976532,27367,MacBookPro.lan,127.0.0.1,269.4967257976532,15,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13607.987,1595.502,12012.449,12012.429,0,0,0,0,32.86666666666667,78.36666666666667,[],[]
0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,16,5f947_00000,2025-10-19_17-19-43,1760887183,1.9714829921722412,271.46820878982544,27367,MacBookPro.lan,127.0.0.1,271.46820878982544,16,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13608.227,1595.669,12012.52,12012.496,0,0,0,0,21.666666666666668,78.06666666666666,[],[]
0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,17,5f947_00000,2025-10-19_17-20-45,1760887245,62.06207585334778,333.5302846431732,27367,MacBookPro.lan,127.0.0.1,333.5302846431732,17,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19415.673,1397.303,18018.33,18018.306,0,0,0,0,16.651136363636365,77.73181818181818,[],[]
0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,18,5f947_00000,2025-10-19_17-20-47,1760887247,1.9948091506958008,335.525093793869,27367,MacBookPro.lan,127.0.0.1,335.525093793869,18,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19415.433,1397.143,18018.255,18018.234,0,0,0,0,16.166666666666668,76.03333333333335,[],[]
0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,19,5f947_00000,2025-10-19_17-20-49,1760887249,1.9962940216064453,337.52138781547546,27367,MacBookPro.lan,127.0.0.1,337.52138781547546,19,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13607.85,1595.276,12012.539,12012.519,0,0,0,0,26.8,77.19999999999999,[],[]
0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,20,5f947_00000,2025-10-19_17-20-51,1760887251,1.9916250705718994,339.51301288604736,27367,MacBookPro.lan,127.0.0.1,339.51301288604736,20,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13607.555,1594.979,12012.541,12012.521,0,0,0,0,35.96666666666667,77.93333333333334,[],[]
0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,21,5f947_00000,2025-10-19_17-21-53,1760887313,62.07025408744812,401.5832669734955,27367,MacBookPro.lan,127.0.0.1,401.5832669734955,21,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19416.495,1398.117,18018.338,18018.312,0,0,0,0,19.98409090909091,79.67727272727274,[],[]
0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,22,5f947_00000,2025-10-19_17-21-55,1760887315,1.990821123123169,403.57408809661865,27367,MacBookPro.lan,127.0.0.1,403.57408809661865,22,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19415.746,1397.426,18018.281,18018.256,0,0,0,0,20.73333333333333,78.76666666666667,[],[]
0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,23,5f947_00000,2025-10-19_17-21-57,1760887317,1.9939539432525635,405.5680420398712,27367,MacBookPro.lan,127.0.0.1,405.5680420398712,23,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13606.587,1594.737,12011.819,12011.798,0,0,0,0,11.933333333333332,80.2,[],[]
0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,24,5f947_00000,2025-10-19_17-21-59,1760887319,1.9940040111541748,407.5620460510254,27367,MacBookPro.lan,127.0.0.1,407.5620460510254,24,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13606.9,1595.051,12011.82,12011.802,0,0,0,0,16.7,80.69999999999999,[],[]
0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,25,5f947_00000,2025-10-19_17-23-01,1760887381,62.07233285903931,469.6343789100647,27367,MacBookPro.lan,127.0.0.1,469.6343789100647,25,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19414.737,1397.703,18017.005,18016.987,0,0,0,0,11.022727272727273,78.46931818181818,[],[]
0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,26,5f947_00000,2025-10-19_17-23-03,1760887383,1.957162857055664,471.59154176712036,27367,MacBookPro.lan,127.0.0.1,471.59154176712036,26,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19413.328,1396.371,18016.932,18016.917,0,0,0,0,39.4,78.13333333333333,[],[]
0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,27,5f947_00000,2025-10-19_17-23-05,1760887385,1.9951989650726318,473.586740732193,27367,MacBookPro.lan,127.0.0.1,473.586740732193,27,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13605.855,1594.71,12011.121,12011.107,0,0,0,0,24.366666666666664,78.1,[],[]
0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,28,5f947_00000,2025-10-19_17-23-07,1760887387,1.9965901374816895,475.5833308696747,27367,MacBookPro.lan,127.0.0.1,475.5833308696747,28,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13606.025,1594.849,12011.149,12011.134,0,0,0,0,32.699999999999996,78.06666666666666,[],[]
