num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,cumulative_episodes,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,67f3a_00000,2025-10-28_16-27-15,1761665235,61.92193007469177,61.92193007469177,98375,SusudeMacBook-Pro.local,127.0.0.1,61.92193007469177,1,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60064.591,0.04,60063.886,60063.722,0,0,0,0,13.756818181818181,79.45795454545456,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,2,67f3a_00000,2025-10-28_16-27-17,1761665237,1.980647325515747,63.90257740020752,98375,SusudeMacBook-Pro.local,127.0.0.1,63.90257740020752,2,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,31022.575,990.187,30032.027,30031.937,0,0,0,0,37.96666666666666,78.43333333333334,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,3,67f3a_00000,2025-10-28_16-27-19,1761665239,1.9943609237670898,65.89693832397461,98375,SusudeMacBook-Pro.local,127.0.0.1,65.89693832397461,3,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,21346.484,1324.841,20021.398,20021.336,0,0,0,0,17.333333333333332,79.56666666666666,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,4,67f3a_00000,2025-10-28_16-27-21,1761665241,1.9926121234893799,67.88955044746399,98375,SusudeMacBook-Pro.local,127.0.0.1,67.88955044746399,4,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,16508.002,1491.731,15016.082,15016.035,0,0,0,0,30.76666666666667,79.76666666666667,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,5,67f3a_00000,2025-10-28_16-28-23,1761665303,62.045360803604126,129.93491125106812,98375,SusudeMacBook-Pro.local,127.0.0.1,129.93491125106812,5,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,25221.913,1198.322,24023.43,24023.384,0,0,0,0,13.95,79.93181818181819,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,6,67f3a_00000,2025-10-28_16-28-25,1761665305,1.9673452377319336,131.90225648880005,98375,SusudeMacBook-Pro.local,127.0.0.1,131.90225648880005,6,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,21346.141,1326.451,20019.553,20019.513,0,0,0,0,21.633333333333336,78.96666666666665,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,7,67f3a_00000,2025-10-28_16-28-27,1761665307,1.9931938648223877,133.89545035362244,98375,SusudeMacBook-Pro.local,127.0.0.1,133.89545035362244,7,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,18581.425,1421.671,17159.635,17159.6,0,0,0,0,32.76666666666667,79.93333333333332,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,8,67f3a_00000,2025-10-28_16-28-29,1761665309,1.994110107421875,135.8895604610443,98375,SusudeMacBook-Pro.local,127.0.0.1,135.8895604610443,8,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,16507.997,1493.178,15014.712,15014.68,0,0,0,0,26.866666666666664,80.46666666666667,[],[]
0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,9,67f3a_00000,2025-10-28_16-29-31,1761665371,62.04685115814209,197.9364116191864,98375,SusudeMacBook-Pro.local,127.0.0.1,197.9364116191864,9,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,21349.296,1329.187,20019.98,20019.941,0,0,0,0,16.587500000000002,80.41136363636365,[],[]
0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,10,67f3a_00000,2025-10-28_16-29-33,1761665373,1.9791879653930664,199.91559958457947,98375,SusudeMacBook-Pro.local,127.0.0.1,199.91559958457947,10,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,19412.277,1394.16,18017.998,18017.962,0,0,0,0,29.233333333333334,79.7,[],[]
