num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,my_cumulative_episodes,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,13,c3958_00000,2025-11-19_11-42-22,1763548942,120.10172581672668,1561.4243474006653,82492,SusudeMacBook-Pro.local,127.0.0.1,1561.4243474006653,13,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60055.632,0.014,60055.6,60055.592,0,0,0,0,17.114619883040938,74.37017543859649,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,14,c3958_00000,2025-11-19_11-44-23,1763549063,120.11141705513,1681.5357644557953,82492,SusudeMacBook-Pro.local,127.0.0.1,1681.5357644557953,14,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60054.096,0.013,60054.064,60054.056,0,0,0,0,15.500588235294114,74.58999999999999,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,15,c3958_00000,2025-11-19_11-46-23,1763549183,120.1058669090271,1801.6416313648224,82492,SusudeMacBook-Pro.local,127.0.0.1,1801.6416313648224,15,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60054.358,0.013,60054.325,60054.316,0,0,0,0,24.750292397660818,76.04269005847952,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,16,c3958_00000,2025-11-19_11-48-23,1763549303,120.10496091842651,1921.746592283249,82492,SusudeMacBook-Pro.local,127.0.0.1,1921.746592283249,16,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60054.27,0.015,60054.234,60054.225,0,0,0,0,19.00877192982456,75.33040935672514,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,17,c3958_00000,2025-11-19_11-50-23,1763549423,120.10840702056885,2041.8549993038177,82492,SusudeMacBook-Pro.local,127.0.0.1,2041.8549993038177,17,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60054.457,0.016,60054.419,60054.41,0,0,0,0,27.53508771929825,75.76549707602338,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,18,c3958_00000,2025-11-19_11-52-23,1763549543,120.10903596878052,2161.9640352725983,82492,SusudeMacBook-Pro.local,127.0.0.1,2161.9640352725983,18,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60054.564,0.018,60054.519,60054.505,0,0,0,0,19.037647058823534,75.70235294117646,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,19,c3958_00000,2025-11-19_11-54-23,1763549663,120.1070191860199,2282.071054458618,82492,SusudeMacBook-Pro.local,127.0.0.1,2282.071054458618,19,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60054.669,0.018,60054.624,60054.61,0,0,0,0,19.039766081871345,75.09941520467837,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,20,c3958_00000,2025-11-19_11-56-23,1763549783,120.08255791664124,2402.1536123752594,82492,SusudeMacBook-Pro.local,127.0.0.1,2402.1536123752594,20,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60051.831,0.018,60051.78,60051.762,0,0,0,0,19.57894736842105,75.89473684210526,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,21,c3958_00000,2025-11-19_11-58-23,1763549903,120.10355997085571,2522.257172346115,82492,SusudeMacBook-Pro.local,127.0.0.1,2522.257172346115,21,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60051.516,0.015,60051.469,60051.452,0,0,0,0,23.655882352941173,75.65470588235294,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,22,c3958_00000,2025-11-19_12-00-24,1763550024,120.11292695999146,2642.3700993061066,82492,SusudeMacBook-Pro.local,127.0.0.1,2642.3700993061066,22,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60052.014,0.02,60051.958,60051.938,0,0,0,0,22.426315789473684,75.993567251462,[],[]
